timestamp,rollout_id,steps,env_instances_avg,total_actions,waypoint_s,env_call_at_s,navigation_s,env_step_s,tracked_total_s,rollout_total_s,waypoint_pct,env_call_at_pct,navigation_pct,env_step_pct,call_at_requests
2026-03-20 19:51:44,83,15,4.000,60,0.950969,0.412801,17.562136,5.142654,24.068560,25.069369,3.95,1.72,72.97,21.37,276
2026-03-20 19:52:13,84,15,4.000,60,0.988553,0.557980,16.948572,9.030624,27.525730,28.225892,3.59,2.03,61.57,32.81,274
2026-03-20 19:52:36,85,15,4.000,60,0.949001,0.406507,14.595656,5.885399,21.836562,22.507965,4.35,1.86,66.84,26.95,269
2026-03-20 19:53:00,86,15,4.000,60,0.984127,0.635268,15.109645,6.457797,23.186836,23.817809,4.24,2.74,65.16,27.85,281
2026-03-20 19:53:23,87,15,4.000,60,0.953194,0.453027,14.637217,5.258133,21.301571,21.943088,4.47,2.13,68.71,24.68,277
2026-03-20 19:53:45,88,15,4.000,60,0.944918,0.424923,13.969970,5.347911,20.687722,21.347667,4.57,2.05,67.53,25.85,285
2026-03-20 19:54:09,89,15,4.000,60,0.942387,0.413359,13.635356,5.266082,20.257183,20.857352,4.65,2.04,67.31,26.00,273
2026-03-20 19:54:29,90,15,4.000,60,0.954286,0.439690,12.902158,5.397120,19.693253,19.950114,4.85,2.23,65.52,27.41,282
2026-03-20 19:54:50,91,15,4.000,60,0.970779,0.426484,12.439919,5.566080,19.403262,20.059519,5.00,2.20,64.11,28.69,272
2026-03-20 19:55:12,92,15,4.000,60,0.876439,0.461290,14.416568,5.282668,21.036965,21.689833,4.17,2.19,68.53,25.11,280
2026-03-20 19:55:33,93,15,4.000,60,0.851295,0.376694,13.320020,5.139721,19.687730,20.294638,4.32,1.91,67.66,26.11,278
2026-03-20 19:55:56,94,15,4.000,60,0.841865,0.461555,15.509833,5.055881,21.869133,22.850218,3.85,2.11,70.92,23.12,284
2026-03-20 19:56:17,95,15,4.000,60,0.840202,0.422786,13.271098,5.193083,19.727168,20.355971,4.26,2.14,67.27,26.32,276
2026-03-20 19:56:37,96,15,4.000,60,0.836350,0.395385,12.405010,5.043940,18.680685,19.261740,4.48,2.12,66.41,27.00,276
2026-03-20 19:56:59,97,15,4.000,60,0.836512,0.429861,13.980597,5.118340,20.365311,20.978456,4.11,2.11,68.65,25.13,275
2026-03-20 19:57:20,98,15,4.000,60,0.803309,0.401762,13.446842,5.188607,19.840519,20.434169,4.05,2.02,67.77,26.15,280
2026-03-20 19:57:40,99,15,4.000,60,0.859560,0.416366,13.036561,5.086085,19.398571,19.997658,4.43,2.15,67.20,26.22,275
2026-03-20 19:58:07,100,15,4.000,60,0.824046,0.439054,17.214475,6.949555,25.427130,26.084245,3.24,1.73,67.70,27.33,276
2026-03-20 19:58:29,101,15,4.000,60,0.805105,0.423967,13.302025,5.099807,19.630905,20.214472,4.10,2.16,67.76,25.98,275
2026-03-20 19:58:55,102,15,4.000,60,0.816258,0.416670,13.061526,5.115995,19.410449,25.750057,4.21,2.15,67.29,26.36,284
